CID,BDATE,GEN
NASAW00014391,19520904,Male
NASAW00014392,19530220,Male
NASAW00014393,19581001,Male
NASAW00014394,19581003,Male
NASAW00014395,19630916,Male
NASAW00014396,19531015,Female
NASAW00014397,19530921,Female
NASAW00014398,19540310,Male
NASAW00014399,19590503,Male
NASAW00014400,19540421,Male
NASAW00014401,19540906,Male
NASAW00014402,19541118,Female
NASAW00014403,19540916,Female
NASAW00014404,19560326,Female
NASAW00014405,19551129,Male
NASAW00014406,19610811,Female
NASAW00014407,19551202,Male
NASAW00014408,19560211,Female
NASAW00014409,19610422,Male
NASAW00014410,19551224,Female
NASAW00014411,19560803,Female
NASAW00014412,19560930,Female
NASAW00014413,19560814,Female
NASAW00014414,19570313,Female
NASAW00014415,19621112,Male
NASAW00014416,19571026,Female
NASAW00014417,19570804,Male
NASAW00014418,19630423,Female
NASAW00014419,19571110,Female
NASAW00014420,19740812,Female
NASAW00014421,19580125,Female
NASAW00014422,19691102,Female
NASAW00014423,19631218,Female
NASAW00014424,19740101,Female
NASAW00014425,19740211,Male
NASAW00014426,19680819,Female
NASAW00014427,19611105,Male
NASAW00014428,19610410,Female
NASAW00014429,19610121,Female
NASAW00014430,19630103,Female
NASAW00014431,19620521,Female
NASAW00014432,19390221,Male
NASAW00014433,19381203,Female
NASAW00014434,19380925,Female
NASAW00014435,19381014,Female
NASAW00014436,19710304,Male
NASAW00014437,19710130,Male
NASAW00014438,19760412,Female
NASAW00014439,19710130,Male
NASAW00014440,19710513,Male
NASAW00014441,19761103,Male
NASAW00014442,19701222,Female
NASAW00014443,19710504,Male
NASAW00014444,19700908,Male
NASAW00014445,19710422,Male
NASAW00014446,19750806,Male
NASAW00014447,19690704,Female
NASAW00014448,19751222,Female
NASAW00014449,19691107,Male
NASAW00014450,19750406,Male
NASAW00014451,19691129,Male
NASAW00014452,19670914,Male
NASAW00014453,19620209,Male
NASAW00014454,19400517,Female
NASAW00014455,19680913,Female
NASAW00014456,19790904,Male
NASAW00014457,19680806,Male
NASAW00014458,19671202,Male
NASAW00014459,19671207,Male
NASAW00014460,19680406,Male
NASAW00014461,19680512,Female
NASAW00014462,19671230,Female
NASAW00014463,19731006,Female
NASAW00014464,19671225,Female
NASAW00014465,19660821,Male
NASAW00014466,19660821,Male
NASAW00014467,19661101,Male
NASAW00014468,19661007,Female
NASAW00014469,19661020,Female
NASAW00014470,19720201,Male
NASAW00014471,19670114,Male
NASAW00014472,19661201,Female
NASAW00014473,19720131,Male
NASAW00014474,19660917,Female
NASAW00014475,19660809,Female
NASAW00014476,19600717,Male
NASAW00014477,19610203,Female
NASAW00014478,19650805,Female
NASAW00014479,19420320,Female
NASAW00014480,19710502,Male
NASAW00014481,19660129,Female
NASAW00014482,19660119,Male
NASAW00014483,19660119,Female
NASAW00014484,19710903,Female
NASAW00014485,19651209,Female
NASAW00014486,19650916,Male
NASAW00014487,19600404,Male
NASAW00014488,19590902,Male
NASAW00014489,19640610,Male
NASAW00014490,19641013,Male
NASAW00014491,19590503,Male
NASAW00014492,19581123,Male
NASAW00014493,19590122,Female
NASAW00014494,19640513,Male
NASAW00014495,19571221,Male
NASAW00014496,19580417,Female
NASAW00014497,19630930,Female
NASAW00014498,19430320,Female
NASAW00014499,19421007,Male
NASAW00014500,19430518,Female
NASAW00014501,19431110,Male
NASAW00014502,19440310,Female
NASAW00014503,19430917,Female
NASAW00014504,19440218,Female
NASAW00014505,19431122,Male
NASAW00014506,19451117,Female
NASAW00014507,19460301,Male
NASAW00014508,19460402,Female
NASAW00014509,19730830,Female
NASAW00014510,19730817,Male
NASAW00014511,19740523,Female
NASAW00014512,19790903,Male
NASAW00014513,19740520,Female
NASAW00014514,19850310,Female
NASAW00014515,19850206,Female
NASAW00014516,19500525,Male
NASAW00014517,19610114,Female
NASAW00014518,19530507,Female
NASAW00014519,19840518,Female
NASAW00014520,19840616,Female
NASAW00014521,19530409,Male
NASAW00014522,19530216,Male
NASAW00014523,19530525,Female
NASAW00014524,19831116,Female
NASAW00014525,19821205,Female
NASAW00014526,19670709,Female
NASAW00014527,19680406,Male
NASAW00014528,19731129,Male
NASAW00014529,19670930,Female
NASAW00014530,19680229,Male
NASAW00014531,19670721,Female
NASAW00014532,19790517,Female
NASAW00014533,19831005,Male
NASAW00014534,19661022,Female
NASAW00014535,19720512,Male
NASAW00014536,19661230,Female
NASAW00014537,19410311,Male
NASAW00014538,19671018,Female
NASAW00014539,19680618,Female
NASAW00014540,19631016,Male
NASAW00014541,19631114,Male
NASAW00014542,19790504,Male
NASAW00014543,19630208,Female
NASAW00014544,19620911,Male
NASAW00014545,19730314,Female
NASAW00014546,19610907,Female
NASAW00014547,19610101,Male
NASAW00014548,19601217,Female
NASAW00014549,19610526,Male
NASAW00014550,19531005,Female
NASAW00014551,19430423,Female
NASAW00014552,19450414,Female
NASAW00014553,19460402,Female
NASAW00014554,19510703,Male
NASAW00014555,19480513,Female
NASAW00014556,19480921,Male
NASAW00014557,19860322,Male
NASAW00014558,19811108,Female
NASAW00014559,19760320,Female
NASAW00014560,19760331,Male
NASAW00014561,19810524,Male
NASAW00014562,19751007,Male
NASAW00014563,19750324,Male
NASAW00014564,19800131,Female
NASAW00014565,19740929,Female
NASAW00014566,19770402,Female
NASAW00014567,19820521,Male
NASAW00014568,19820309,Female
NASAW00014569,19820612,Male
NASAW00014570,19761019,Female
NASAW00014571,19820423,Female
NASAW00014572,19761013,Female
NASAW00014573,19800202,Female
NASAW00014574,19740915,Female
NASAW00014575,19800507,Female
NASAW00014576,19790519,Female
NASAW00014577,19731210,Female
NASAW00014578,19790105,Male
NASAW00014579,19740422,Male
NASAW00014580,19780313,Male
NASAW00014581,19781017,Male
NASAW00014582,19810130,Male
NASAW00014583,19751110,Female
NASAW00014584,19760405,Female
NASAW00014585,19810419,Female
NASAW00014586,19730510,Female
NASAW00014587,19730331,Female
NASAW00014588,19730118,Male
NASAW00014589,19770129,Female
NASAW00014590,19770422,Female
NASAW00014591,19711006,Male
NASAW00014592,19720123,Female
NASAW00014593,19710713,Male
NASAW00014594,19720218,Female
NASAW00014595,19770406,Female
NASAW00014596,19720513,Female
NASAW00014597,19711001,Male
NASAW00014598,19750218,Female
NASAW00014599,19740924,Male
NASAW00014600,19801014,Female
NASAW00014601,19801006,Male
NASAW00014602,19750308,Female
NASAW00014603,19701006,Female
NASAW00014604,19710401,Male
NASAW00014605,19710325,Female
NASAW00014606,19710211,Female
NASAW00014607,19750501,Male
NASAW00014608,19690803,Male
NASAW00014609,19700103,Female
NASAW00014610,19690921,Female
NASAW00014611,19690718,Female
NASAW00014612,19740716,Male
NASAW00014613,19800202,Male
NASAW00014614,19790207,Male
NASAW00014615,19850106,Female
NASAW00014616,19730814,Female
NASAW00014617,19680802,Male
NASAW00014618,19740905,Female
NASAW00014619,19740222,Male
NASAW00014620,19681019,Female
NASAW00014621,19680205,Female
NASAW00014622,19670824,Male
NASAW00014623,19731002,Male
NASAW00014624,19671107,Female
NASAW00014625,19670907,Male
NASAW00014626,19661121,Male
NASAW00014627,19721112,Male
NASAW00014628,19661021,Male
NASAW00014629,19670121,Male
NASAW00014630,19670204,Male
NASAW00014631,19661015,Male
NASAW00014632,19720311,Male
NASAW00014633,19670406,Male
NASAW00014634,19670519,Female
NASAW00014635,19651010,Male
NASAW00014636,19660101,Female
NASAW00014637,19760901,Male
NASAW00014638,19710818,Male
NASAW00014639,19660221,Male
NASAW00014640,19730303,Female
NASAW00014641,19780715,Male
NASAW00014642,19721110,Male
NASAW00014643,19720714,Male
NASAW00014644,19730612,Female
NASAW00014645,19720820,Male
NASAW00014646,19780103,Male
NASAW00014647,19721208,Male
NASAW00014648,19331222,Male
NASAW00014649,19770520,Female
NASAW00014650,19660327,Male
NASAW00014651,19651111,Female
NASAW00014652,19660601,Male
NASAW00014653,19640706,Male
NASAW00014654,19650210,Male
NASAW00014655,19700124,Female
NASAW00014656,19640904,Male
NASAW00014657,19640510,Male
NASAW00014658,19690522,Female
NASAW00014659,19630720,Male
NASAW00014660,19690302,Female
NASAW00014661,19631004,Female
NASAW00014662,19631106,Male
NASAW00014663,19640402,Male
NASAW00014664,19631130,Female
NASAW00014665,19750114,Male
NASAW00014666,19800207,Male
NASAW00014667,19760117,Female
NASAW00014668,19750901,Male
NASAW00014669,19760106,Female
NASAW00014670,19740503,Female
NASAW00014671,19780805,Female
NASAW00014672,19741007,Male
NASAW00014673,19741221,Male
NASAW00014674,19730330,Female
NASAW00014675,19730202,Female
NASAW00014676,19720725,Male
NASAW00014677,19771006,Male
NASAW00014678,19711229,Female
NASAW00014679,19720414,Female
NASAW00014680,19720518,Male
NASAW00014681,19790930,Female
NASAW00014682,19790809,Female
NASAW00014683,19700526,Female
NASAW00014684,19700613,Male
NASAW00014685,19690316,Male
NASAW00014686,19690612,Female
NASAW00014687,19790822,Female
NASAW00014688,19860412,Female
NASAW00014689,19860526,Female
NASAW00014690,19850720,Male
NASAW00014691,19850512,Male
NASAW00014692,19830909,Female
NASAW00014693,19840222,Male
NASAW00014694,19780925,Female
NASAW00014695,19780319,Male
NASAW00014696,19771107,Male
NASAW00014697,19770809,Male
NASAW00014698,19841009,Female
NASAW00014699,19790417,Male
NASAW00014700,19790521,Male
NASAW00014701,19770918,Male
NASAW00014702,19780606,Male
NASAW00014703,19771130,Male
NASAW00014704,19770117,Female
NASAW00014705,19770714,Female
NASAW00014706,19771123,Female
NASAW00014707,19770425,Female
NASAW00014708,19761002,Female
NASAW00014709,19820310,Male
NASAW00014710,19760823,Female
NASAW00014711,19770430,Female
NASAW00014712,19770521,Male
NASAW00014713,19760105,Male
NASAW00014714,19760208,Female
NASAW00014715,19811116,Male
NASAW00014716,19820528,Female
NASAW00014717,19760901,Female
NASAW00014718,19770413,Male
NASAW00014719,19751006,Male
NASAW00014720,19760101,Female
NASAW00014721,19850712,Male
NASAW00014722,19800625,Female
NASAW00014723,19801023,Male
NASAW00014724,19720109,Male
NASAW00014725,19720526,Male
NASAW00014726,19711231,Male
NASAW00014727,19770702,Female
NASAW00014728,19821115,Female
NASAW00014729,19770704,Female
NASAW00014730,19640214,Male
NASAW00014731,19640521,Male
NASAW00014732,19700520,Female
NASAW00014733,19580826,Male
NASAW00014734,19641107,Male
NASAW00014735,19590409,Female
NASAW00014736,19591108,Male
NASAW00014737,19591117,Male
NASAW00014738,19590912,Male
NASAW00014739,19600325,Male
NASAW00014740,19650319,Female
NASAW00014741,19600131,Female
NASAW00014742,19610115,Female
NASAW00014743,19660221,Male
NASAW00014744,19610222,Male
NASAW00014745,19600917,Male
NASAW00014746,19601002,Female
NASAW00014747,19661112,Male
NASAW00014748,19670306,Male
NASAW00014749,19670424,Male
NASAW00014750,19620505,Female
NASAW00014751,19611105,Female
NASAW00014752,19630511,Male
NASAW00014753,19790920,Male
NASAW00014754,19630517,Male
NASAW00014755,19630521,Male
NASAW00014756,19621112,Male
NASAW00014757,19671230,Female
NASAW00014758,19690522,Female
NASAW00014759,19630909,Female
NASAW00014760,19640610,Male
NASAW00014761,19690921,Female
NASAW00014762,19640207,Female
NASAW00014763,19640510,Male
NASAW00014764,19650302,Male
NASAW00014765,19640815,Male
NASAW00014766,19730821,Male
NASAW00014767,19740215,Female
NASAW00014768,19291218,Male
NASAW00014769,19740315,Female
NASAW00014770,19790602,Male
NASAW00014771,19740220,Female
NASAW00014772,19740422,Female
NASAW00014773,19731025,Male
NASAW00014774,19730914,Male
NASAW00014775,19850511,Female
NASAW00014776,19790121,Male
NASAW00014777,19731007,Female
NASAW00014778,19721218,Female
NASAW00014779,19780308,Male
NASAW00014780,19730130,Female
NASAW00014781,19721031,Male
NASAW00014782,19730415,Male
NASAW00014783,19780722,Female
NASAW00014784,19730603,Male
NASAW00014785,19720907,Male
NASAW00014786,19780808,Male
NASAW00014787,19711218,Female
NASAW00014788,19720617,Male
NASAW00014789,19720401,Female
NASAW00014790,19720808,Male
NASAW00014791,19721029,Female
NASAW00014792,19780812,Male
NASAW00014793,19721218,Male
NASAW00014794,19780809,Male
NASAW00014795,19710903,Female
NASAW00014796,19760105,Male
NASAW00014797,19760105,Male
NASAW00014798,19710215,Female
NASAW00014799,19760811,Female
NASAW00014800,19700703,Female
NASAW00014801,19690814,Female
NASAW00014802,19700319,Female
NASAW00014803,19691205,Female
NASAW00014804,19791001,Female
NASAW00014805,19740618,Female
NASAW00014806,19740503,Male
NASAW00014807,19680804,Female
NASAW00014808,19800315,Female
NASAW00014809,19791001,Male
NASAW00014810,19720525,Male
NASAW00014811,19720219,Female
NASAW00014812,19711114,Male
NASAW00014813,19681029,Female
NASAW00014814,19690118,Female
NASAW00014815,19761214,Female
NASAW00014816,19761020,Female
NASAW00014817,19820312,Female
NASAW00014818,19691123,Female
NASAW00014819,19691207,Female
NASAW00014820,19750831,Male
NASAW00014821,19691006,Male
NASAW00014822,19690324,Female
NASAW00014823,19690626,Male
NASAW00014824,19741113,Male
NASAW00014825,19820831,Female
NASAW00014826,19850213,Female
NASAW00014827,19841001,Male
NASAW00014828,19850308,Male
NASAW00014829,19830715,Female
NASAW00014830,19740809,Female
NASAW00014831,19680805,Male
NASAW00014832,19800430,Male
NASAW00014833,19671211,Female
NASAW00014834,19830907,Female
NASAW00014835,19840301,Female
NASAW00014836,19831004,Male
NASAW00014837,19830114,Male
NASAW00014838,19830123,Male
NASAW00014839,19821115,Female
NASAW00014840,19830422,Female
NASAW00014841,19170605,Male
NASAW00014842,19810206,Female
NASAW00014843,19810103,Male
NASAW00014844,19860225,Male
NASAW00014845,19850813,Female
NASAW00014846,19851109,Female
NASAW00014847,19790909,Female
NASAW00014848,19810309,Male
NASAW00014849,19810410,Male
NASAW00014850,19780923,Female
NASAW00014851,19780802,Female
NASAW00014852,19840512,Male
NASAW00014853,19530812,Male
NASAW00014854,19591109,Female
NASAW00014855,19540623,Female
NASAW00014856,19830201,Female
NASAW00014857,19540727,Female
NASAW00014858,19561218,Male
NASAW00014859,19570902,Male
NASAW00014860,19630614,Male
NASAW00014861,19820406,Female
NASAW00014862,19770217,Male
NASAW00014863,19821019,Female
NASAW00014864,19761222,Female
NASAW00014865,19760112,Male
NASAW00014866,19811017,Female
NASAW00014867,19810104,Female
NASAW00014868,19810216,Female
NASAW00014869,19810222,Female
NASAW00014870,19790711,Female
NASAW00014871,19850407,Male
NASAW00014872,19850223,Male
NASAW00014873,19790810,Male
NASAW00014874,19810223,Female
NASAW00014875,19810626,Female
NASAW00014876,19360905,Male
NASAW00014877,19720111,Male
NASAW00014878,19710831,Male
NASAW00014879,19720525,Female
NASAW00014880,19581008,Female
NASAW00014881,19700506,Male
NASAW00014882,19641017,Female
NASAW00014883,19640319,Female
NASAW00014884,19581003,Female
NASAW00014885,19590808,Female
NASAW00014886,19650604,Female
NASAW00014887,19590831,Female
NASAW00014888,19651115,Female
NASAW00014889,19710404,Male
NASAW00014890,19600123,Male
NASAW00014891,19650506,Male
NASAW00014892,19600804,Female
NASAW00014893,19600807,Female
NASAW00014894,19610518,Male
NASAW00014895,19661003,Male
NASAW00014896,19601107,Female
NASAW00014897,19611231,Male
NASAW00014898,19611001,Female
NASAW00014899,19620325,Male
NASAW00014900,19620423,Female
NASAW00014901,19670720,Female
NASAW00014902,19620324,Female
NASAW00014903,19610901,Female
NASAW00014904,19611030,Male
NASAW00014905,19610930,Male
NASAW00014906,19620516,Male
NASAW00014907,19610901,Female
NASAW00014908,19730102,Female
NASAW00014909,19620322,Male
NASAW00014910,19630524,Female
NASAW00014911,19680216,Female
NASAW00014912,19630218,Female
NASAW00014913,19681014,Female
NASAW00014914,19740211,Female
NASAW00014915,19740406,Female
NASAW00014916,19690913,Female
NASAW00014917,19690118,Male
NASAW00014918,19691102,Female
NASAW00014919,19691022,Male
NASAW00014920,19700520,Male
NASAW00014921,19760319,Female
NASAW00014922,19700910,Female
NASAW00014923,19730801,Male
NASAW00014924,19791214,Female
NASAW00014925,19740427,Female
NASAW00014926,19730918,Male
NASAW00014927,19740326,Female
NASAW00014928,19730918,Male
NASAW00014929,19790930,Male
NASAW00014930,19731229,Female
NASAW00014931,19740502,Male
NASAW00014932,19780417,Male
NASAW00014933,19720717,Male
NASAW00014934,19830917,Male
NASAW00014935,19721208,Male
NASAW00014936,19720819,Male
NASAW00014937,19830519,Male
NASAW00014938,19711214,Female
NASAW00014939,19721015,Male
NASAW00014940,19780219,Female
NASAW00014941,19720124,Female
NASAW00014942,19710813,Female
NASAW00014943,19770808,Female
NASAW00014944,19760806,Male
NASAW00014945,19761204,Female
NASAW00014946,19710304,Male
NASAW00014947,19760108,Male
NASAW00014948,19701009,Male
NASAW00014949,19701012,Male
NASAW00014950,19750824,Female
NASAW00014951,19700326,Female
NASAW00014952,19700522,Female
NASAW00014953,19681211,Female
NASAW00014954,19680921,Female
NASAW00014955,19680830,Male
NASAW00014956,19681008,Female
NASAW00014957,19740528,Female
NASAW00014958,19720404,Male
NASAW00014959,19740111,Male
NASAW00014960,19761111,Male
NASAW00014961,19760412,Female
NASAW00014962,19710412,Male
NASAW00014963,19760319,Female
NASAW00014964,19701201,Male
NASAW00014965,19750706,Male
NASAW00014966,19691102,Male
NASAW00014967,19691112,Female
NASAW00014968,19700103,Male
NASAW00014969,19790930,Male
NASAW00014970,19820830,Male
NASAW00014971,19840723,Female
NASAW00014972,19850403,Female
NASAW00014973,19850118,Female
NASAW00014974,19841229,Male
NASAW00014975,19681230,Male
NASAW00014976,19671209,Male
NASAW00014977,19830818,Female
NASAW00014978,19830929,Male
NASAW00014979,19830904,Male
NASAW00014980,19840302,Female
NASAW00014981,19830905,Female
NASAW00014982,19840406,Female
NASAW00014983,19840221,Male
NASAW00014984,19840512,Female
NASAW00014985,19821124,Female
NASAW00014986,19820202,Male
NASAW00014987,19820602,Female
NASAW00014988,19800723,Female
NASAW00014989,19811221,Female
NASAW00014990,19810725,Male
NASAW00014991,19810825,Male
NASAW00014992,19180211,Male
NASAW00014993,19801208,Male
NASAW00014994,19810625,Male
NASAW00014995,19850505,Female
NASAW00014996,19810412,Male
NASAW00014997,19801202,Male
NASAW00014998,19791014,Male
NASAW00014999,19781103,Female
NASAW00015000,19781119,Female
NASAW00015001,19780831,Female
NASAW00015002,19781004,Female
NASAW00015003,19840917,Male
NASAW00015004,19790604,Female
NASAW00015005,19840319,Male
NASAW00015006,19840520,Female
NASAW00015007,19830218,Female
NASAW00015008,19830527,Male
NASAW00015009,19821208,Female
NASAW00015010,19830312,Male
NASAW00015011,19830513,Female
NASAW00015012,19820303,Female
NASAW00015013,19820513,Female
NASAW00015014,19600715,Male
NASAW00015015,19551103,Male
NASAW00015016,19850812,Male
NASAW00015017,19860421,Female
NASAW00015018,19570422,Female
NASAW00015019,19560924,Female
NASAW00015020,19570422,Female
NASAW00015021,19561009,Male
NASAW00015022,19621112,Female
NASAW00015023,19841230,Male
NASAW00015024,19690509,Male
NASAW00015025,19580115,Female
NASAW00015026,19580106,Female
NASAW00015027,19590418,Male
NASAW00015028,19850907,Female
NASAW00015029,19841201,Male
NASAW00015030,19860109,Male
NASAW00015031,19820827,Male
NASAW00015032,19811209,Female
NASAW00015033,19811230,Female
NASAW00015034,19850222,Male
NASAW00015035,19840810,Male
NASAW00015036,19850219,Male
NASAW00015037,19850219,Male
NASAW00015038,19840109,Male
NASAW00015039,19821003,Female
NASAW00015040,19821208,Male
NASAW00015041,19830308,Female
NASAW00015042,19820721,Male
NASAW00015043,19821107,Male
NASAW00015044,19830207,Female
NASAW00015045,19540416,Female
NASAW00015046,19490517,Female
NASAW00015047,19670208,Female
NASAW00015048,19661217,Female
NASAW00015049,19710321,Male
NASAW00015050,19711207,Male
NASAW00015051,19651120,Male
NASAW00015052,19710502,Female
NASAW00015053,19701105,Male
NASAW00015054,19640813,Male
NASAW00015055,19650118,Male
NASAW00015056,19640929,Female
NASAW00015057,19700623,Female
NASAW00015058,19701123,Male
NASAW00015059,19700910,Female
NASAW00015060,19691220,Male
NASAW00015061,19651125,Female
NASAW00015062,19660322,Female
NASAW00015063,19651217,Female
NASAW00015064,19660131,Male
NASAW00015065,19810511,Male
NASAW00015066,19750902,Female
NASAW00015067,19750805,Female
NASAW00015068,19810213,Female
NASAW00015069,19750920,Male
NASAW00015070,19741007,Male
NASAW00015071,19811213,Female
NASAW00015072,19760101,Female
NASAW00015073,19810503,Female
NASAW00015074,19250825,Female
NASAW00015075,19260315,Female
NASAW00015076,19741218,Female
NASAW00015077,19741113,Female
NASAW00015078,19800806,Male
NASAW00015079,19741202,Male
NASAW00015080,19860505,Female
NASAW00015081,19750619,Female
NASAW00015082,19741211,Male
NASAW00015083,19750102,Female
NASAW00015084,19800916,Female
NASAW00015085,19741230,Female
NASAW00015086,19800216,Female
NASAW00015087,19800430,Female
NASAW00015088,19800305,Female
NASAW00015089,19750502,Male
NASAW00015090,19691218,Male
NASAW00015091,19730917,Male
NASAW00015092,19600215,Male
NASAW00015093,19490816,Male
NASAW00015094,19550316,Female
NASAW00015095,19500705,Female
NASAW00015096,19510114,Male
NASAW00015097,19501021,Female
NASAW00015098,19510828,Female
NASAW00015099,19511207,Male
NASAW00015100,19520522,Female
NASAW00015101,19520415,Male
NASAW00015102,19520211,Male
NASAW00015103,19580905,Male
NASAW00015104,19690731,Female
NASAW00015105,19710404,Female
NASAW00015106,19710503,Male
NASAW00015107,19590117,Male
NASAW00015108,19590103,Female
NASAW00015109,19740603,Female
NASAW00015110,19570825,Female
NASAW00015111,19620905,Female
NASAW00015112,19621114,Female
NASAW00015113,19620531,Male
NASAW00015114,19570425,Female
NASAW00015115,19551211,Male
NASAW00015116,19610422,Female
NASAW00015117,19541111,Female
NASAW00015118,19550106,Male
NASAW00015119,19581003,Male
NASAW00015120,19810816,Female
NASAW00015121,19811215,Male
NASAW00015122,19820610,Female
NASAW00015123,19810325,Male
NASAW00015124,19800517,Female
NASAW00015125,19800806,Male
NASAW00015126,19800820,Male
NASAW00015127,19860210,Male
NASAW00015128,19791119,Female
NASAW00015129,19841002,Female
NASAW00015130,19840910,Male
NASAW00015131,19830220,Female
NASAW00015132,19780919,Female
NASAW00015133,19790104,Male
NASAW00015134,19780521,Female
NASAW00015135,19830211,Male
NASAW00015136,19771030,Female
NASAW00015137,19780210,Male
NASAW00015138,19771218,Female
NASAW00015139,19761029,Male
NASAW00015140,19770305,Female
NASAW00015141,19770420,Female
NASAW00015142,19771109,Male
NASAW00015143,19761214,Male
NASAW00015144,19761001,Female
NASAW00015145,19770115,Female
NASAW00015146,19761209,Female
NASAW00015147,19820312,Male
NASAW00015148,19760106,Male
NASAW00015149,19810823,Female
NASAW00015150,19751121,Female
NASAW00015151,19821210,Male
NASAW00015152,19761212,Female
NASAW00015153,19770402,Female
NASAW00015154,19770306,Male
NASAW00015155,19470308,Female
NASAW00015156,19460822,Male
NASAW00015157,19460711,Male
NASAW00015158,19461211,Female
NASAW00015159,19470212,Male
NASAW00015160,19470720,Female
NASAW00015161,19480213,Female
NASAW00015162,19480401,Female
NASAW00015163,19480103,Female
NASAW00015164,19490525,Female
NASAW00015165,19490108,Male
NASAW00015166,19490310,Female
NASAW00015167,19480920,Female
NASAW00015168,19500606,Male
NASAW00015169,19581003,Male
NASAW00015170,19761013,Male
NASAW00015171,19591108,Female
NASAW00015172,19860210,Female
NASAW00015173,19810413,Male
NASAW00015174,19800905,Female
NASAW00015175,19841121,Female
NASAW00015176,19780829,Female
NASAW00015177,19790216,Male
NASAW00015178,19610115,Male
NASAW00015179,19610706,Male
NASAW00015180,19610722,Female
NASAW00015181,19730130,Female
NASAW00015182,19670823,Female
NASAW00015183,19790113,Female
NASAW00015184,19631025,Male
NASAW00015185,19640207,Male
NASAW00015186,19690717,Female
NASAW00015187,19790503,Male
NASAW00015188,19790907,Male
NASAW00015189,19850811,Female
NASAW00015190,19800216,Female
NASAW00015191,19800216,Male
NASAW00015192,19650423,Female
NASAW00015193,19710915,Male
NASAW00015194,19771120,Male
NASAW00015195,19720306,Male
NASAW00015196,19770622,Male
NASAW00015197,19630319,Male
NASAW00015198,19680928,Female
NASAW00015199,19620908,Male
NASAW00015200,19620810,Female
NASAW00015201,19620905,Female
NASAW00015202,19630425,Male
NASAW00015203,19680913,Male
NASAW00015204,19730118,Female
NASAW00015205,19730620,Female
NASAW00015206,19721009,Male
NASAW00015207,19730612,Male
NASAW00015208,19680403,Female
NASAW00015209,19790113,Male
NASAW00015210,19680624,Male
NASAW00015211,19660903,Male
NASAW00015212,19670111,Male
NASAW00015213,19670103,Female
NASAW00015214,19720515,Female
NASAW00015215,19720324,Male
NASAW00015216,19651214,Female
NASAW00015217,19710215,Male
NASAW00015218,19710306,Male
NASAW00015219,19760219,Male
NASAW00015220,19750907,Male
NASAW00015221,19750308,Male
NASAW00015222,19750912,Female
NASAW00015223,19751124,Female
NASAW00015224,19750205,Male
NASAW00015225,19650608,Female
NASAW00015226,19800430,Female
NASAW00015227,19681212,Male
NASAW00015228,19690501,Male
NASAW00015229,19680229,Male
NASAW00015230,19731214,Female
NASAW00015231,19671008,Female
NASAW00015232,19720714,Male
NASAW00015233,19720306,Female
NASAW00015234,19640122,Female
NASAW00015235,19710622,Female
NASAW00015236,19651104,Female
NASAW00015237,19761011,Male
NASAW00015238,19671013,Male
NASAW00015239,19620307,Male
NASAW00015240,19590406,Female
NASAW00015241,19640523,Male
NASAW00015242,19590219,Male
NASAW00015243,19811130,Female
NASAW00015244,19811203,Female
NASAW00015245,19811125,Male
NASAW00015246,19811005,Female
NASAW00015247,19810510,Female
NASAW00015248,19820627,Male
NASAW00015249,19850811,Female
NASAW00015250,19860513,Male
NASAW00015251,19850821,Male
NASAW00015252,19850813,Female
NASAW00015253,19520114,Male
NASAW00015254,19850823,Female
NASAW00015255,19831202,Male
NASAW00015256,19830823,Male
NASAW00015257,19830922,Male
NASAW00015258,19831104,Female
NASAW00015259,19830403,Male
NASAW00015260,19830218,Female
NASAW00015261,19501217,Female
NASAW00015262,19451117,Female
NASAW00015263,19460619,Female
NASAW00015264,19460619,Male
NASAW00015265,19460215,Male
NASAW00015266,19461008,Female
NASAW00015267,19480403,Female
NASAW00015268,19531004,Female
NASAW00015269,19811117,Female
NASAW00015270,19820203,Female
NASAW00015271,19811201,Male
NASAW00015272,19811230,Male
NASAW00015273,19811111,Male
NASAW00015274,19820122,Male
NASAW00015275,19820422,Male
NASAW00015276,19850602,Female
NASAW00015277,19791202,Female
NASAW00015278,19850830,Male
NASAW00015279,19800625,Male
NASAW00015280,19731211,Female
NASAW00015281,19721019,Male
NASAW00015282,19690117,Female
NASAW00015283,19780522,Male
NASAW00015284,19830310,Male
NASAW00015285,19830207,Female
NASAW00015286,19790331,Male
NASAW00015287,19781021,Female
NASAW00015288,19780925,Male
NASAW00015289,19830210,Female
NASAW00015290,19830724,Male
NASAW00015291,19821019,Female
NASAW00015292,19761214,Female
NASAW00015293,19820307,Male
NASAW00015294,19770205,Male
NASAW00015295,19760920,Male
NASAW00015296,19761210,Female
NASAW00015297,19761111,Female
NASAW00015298,19830908,Male
NASAW00015299,19831019,Male
NASAW00015300,19780509,Male
NASAW00015301,19770818,Female
NASAW00015302,19780109,Female
NASAW00015303,19500422,Female
NASAW00015304,19500523,Female
NASAW00015305,19510418,Female
NASAW00015306,19510319,Female
NASAW00015307,19560421,Female
NASAW00015308,19611005,Female
NASAW00015309,19510130,Male
NASAW00015310,19510518,Female
NASAW00015311,19560717,Male
NASAW00015312,19510112,Female
NASAW00015313,19520426,Male
NASAW00015314,19520202,Male
NASAW00015315,19520415,Female
NASAW00015316,19530409,Female
NASAW00015317,19580516,Female
NASAW00015318,19530320,Female
NASAW00015319,19520703,Female
NASAW00015320,19690411,Male
NASAW00015321,19521031,Male
NASAW00015322,19580806,Male
